,formatted_data,seven_digit,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id
36,Bob Marley & The Wailers - Rainbow Country (Red Gold And Green Version),2140785,258.29832,0.0,8,0.269,-5.308,0,0.521,250.491,152.99,4,0.42,b'TRARNZA128F424EC6A'
37,Tanto Metro & Devonte - Strange Things,2013839,158.1971,0.108,7,0.147,-6.712,1,0.474,158.197,104.465,4,1.0,b'TRARNBZ128F4238CF7'
38,Alvin Youngblood Hart - Screamin' & Hollerin' The Blues,6897506,208.84853,0.334,3,0.0,-9.186,1,0.094,195.587,111.523,1,0.0,b'TRARNZV128F930CDFB'
39,Naseebo Lal - Dholna Dholna,5261027,376.16281,0.462,7,0.857,-12.746,1,0.681,367.961,151.983,4,0.203,b'TRARNMW128F92DE2D4'
40,Hot Tuna - Parchman Farm,5767054,461.71383,0.0,1,0.979,-9.989,0,0.711,461.714,138.512,4,0.661,b'TRARGZR128F92E28D6'
41,Daddy Yankee - A Lo Clasico,1103893,235.15383,0.0,4,0.085,-4.13,0,0.39,230.946,91.026,4,1.0,b'TRARGBM128F428F65E'
42,Hacken Lee - Zhi Xiang Ni hui Yi,3774385,424.82893,0.0,7,0.699,-15.198,1,0.75,424.829,124.984,3,0.989,b'TRARGCC128F92F34B7'
43,Jimmy Riley - Amaze,6292664,216.39791,0.351,1,0.0,-6.895,1,0.167,206.391,159.943,4,0.0,b'TRARGDO12903C956AA'
44,The Cortinas - Radio Rape,6262703,219.01016,0.0,4,0.861,-7.687,1,0.954,205.851,134.985,3,0.884,b'TRARGLY128F935AAD5'
45,Masta Ace Incorporated - Ain't No Game,993315,295.1571,0.0,11,0.111,-7.687,1,0.295,295.157,88.12,5,0.722,b'TRARGTV128F4274FB6'
46,Jongo Trio - Cavaleiro De Aruanda,405282,157.72689,0.345,2,0.192,-8.151,1,0.487,144.776,144.581,4,0.0,b'TRARZIV128F147AADB'
47,George Nooks - TELL ME WHY,2013425,221.90975,0.067,7,0.0,-7.398,1,0.198,215.638,152.172,4,0.816,b'TRARZMX128F4238B5A'
48,Energy - Czwarty,614585,310.9873,0.355,2,0.112,-5.941,1,0.282,291.73,87.512,4,0.761,b'TRARZOS128F14A1E17'
49,Felix Slatkin/Concert Arts Symphonic Band - Washington Post (1998 Digital Remaster),1609336,151.17016,0.0,5,0.348,-15.019,1,0.462,146.994,124.056,4,0.0,b'TRARZFN128F42680B8'
50,Eddie Palmieri - No Pienses Asi,2821896,266.50077,0.388,10,0.414,-17.886,0,0.464,254.409,153.309,1,0.0,b'TRARZBQ128F42649A6'
51,William Orbit - Cavalleria Rusticana,8515140,199.8624,0.287,5,0.64,-21.82,1,0.705,187.96,131.281,4,0.887,b'TRARZBX12903CD70DA'
52,Chris Brown - Forever,3119614,389.25016,0.2,11,0.712,-2.991,1,0.463,383.089,85.322,1,0.169,b'TRARZKD128F425D64D'
53,HA-ASH - Amor a Medias,5696947,253.90975,0.107,9,0.385,-5.548,1,0.32,244.727,136.945,4,0.284,b'TRARZBR128F934715D'
54,Radiohead - 15 Step,2052636,237.21751,0.0,1,0.623,-7.057,1,0.763,226.116,188.91,5,0.68,b'TRARTEH128F423DBC1'
55,Kashief Lindo - I Love Your Way,7808398,238.15791,0.194,9,0.0,-5.85,1,0.0,233.709,86.481,4,0.304,b'TRARTOQ12903CA1CA9'
56,BoDeans - Lookin' For Me Somewhere,4460419,186.20036,0.148,7,1.0,-13.845,1,0.864,171.764,156.285,1,0.0,b'TRARTBH128F93087A4'
57,Bon Jovi - Raise Your Hands,4148768,311.27465,0.328,1,1.0,-4.857,1,0.808,303.827,139.95,4,0.203,b'TRARTJL128F92CB44B'
58,John Tchicai - Rainbow Dance,999171,182.36036,0.0,3,0.467,-31.391,0,0.312,176.704,154.731,5,0.543,b'TRARTSZ128F427642F'
59,Bongzilla - Champagne & Reefer,2441186,286.58893,0.165,9,0.437,-4.627,1,0.353,282.517,97.265,3,1.0,b'TRARTSA128F4291550'
60,Otis Spann - No More Doggin',3255487,180.40118,3.622,0,0.715,-12.931,1,0.736,170.127,63.255,4,0.27,b'TRARTCZ128F427A176'
61,John Holt - I Need a Veggie,7641972,228.30975,0.305,0,0.304,-9.603,1,0.398,223.875,131.297,4,0.887,b'TRARTYH12903CF0056'
62,Danny Wilson - Get Happy,3032862,126.53669,3.46,5,0.527,-8.515,1,0.51,122.183,92.591,4,0.673,b'TRARTGG128F424ABCD'
63,Al Dexter - I'll Wait for You Dear,7576919,150.9873,0.171,9,0.432,-16.627,1,0.304,150.987,102.707,4,0.876,b'TRARTME12903CE0253'
64,Van Halen - From Afar (Album Version),2366538,324.23138,12.452,4,0.696,-9.057,0,0.638,317.44,87.899,1,0.445,b'TRARTEH128F4280823'
65,Capleton - Cry For Love,6358162,216.81587,0.0,1,0.551,-10.336,0,0.506,210.826,137.425,3,1.0,b'TRARTDG12903CA52DF'
66,Tim Wilson - Uncle B.S. - 1963,269061,100.67546,0.392,5,0.261,-12.36,1,0.297,98.093,88.576,5,0.772,b'TRARTAR128F145F235'
67,Kisha - Wohär dr Wind wäiht,3394171,203.04934,0.096,0,0.163,-7.222,1,0.44,200.539,152.792,4,0.181,b'TRARTHV128F429B77A'
68,The Chap - Volumatic Spacer Device,1701414,207.28118,0.0,6,0.425,-8.337,0,0.681,207.281,123.007,4,0.566,b'TRARTYI128F427E74C'
69,DJ Vix - Putt Jhatt Da Gulabi Phull Varga,3799688,98.76853,0.0,11,0.135,-3.423,0,0.257,98.769,195.755,4,0.0,b'TRARTIV128F92F87F0'
70,Ziggy Marley And The Melody Makers - Namibia,318232,246.54322,0.27,7,0.718,-11.912,1,0.758,219.899,110.873,4,0.031,b'TRARSMV128F1469CCF'
71,Crematorium - Unlearn,7024619,210.1024,0.0,8,0.153,-7.148,0,0.212,199.75,122.186,4,0.61,b'TRARSJD128F932BAF8'
72,Månegarm - Vargbrodern Talar,2765428,92.76036,0.0,4,0.016,-6.769,0,0.009,85.664,163.086,4,0.0,b'TRARSAM128F4256E04'
73,Ernest Ranglin / Floyd Lloyd - Sweet Lady,8840022,271.77751,0.0,3,0.426,-4.909,1,0.489,271.777,127.07,1,0.0,b'TRARSFU12903CB2669'
74,Franco - Forever,9038415,251.61098,5.23,1,0.569,-9.387,0,0.67,233.709,89.984,3,0.731,b'TRARSLP12903CE2AA6'
75,Britney Spears - 3,7069480,465.47546,0.0,1,0.309,-6.278,1,0.409,461.41,131.999,5,1.0,b'TRARSKA128F9336A04'
76,Danny Elfman - Sleuthing,3225017,140.87791,0.36,5,0.158,-22.435,0,0.418,140.878,86.901,5,0.328,b'TRARSKS128F4272D2F'
77,Junior Kimbrough - Meet Me in the City,9007735,190.06649,0.321,7,0.007,-14.023,0,0.239,184.866,129.584,4,0.338,b'TRARSZV12903CDB2DE'
78,Liquid Gang - Drama  (LP Version),7307567,226.0371,0.125,1,0.418,-4.945,0,0.281,220.862,143.963,4,1.0,b'TRARSAW12903C9EDEB'
79,Everly Brothers - Oh What A Feeling,7171607,125.02159,0.0,7,0.079,-15.036,1,0.494,114.248,82.461,4,0.0,b'TRARALS128F934F7C1'
80,Flowin Immo et Les Freaqz - So hell mit Klause Duo,8399535,225.59302,15.186,11,0.096,-7.486,0,0.26,217.763,83.321,5,1.0,b'TRARAKX12903CBADE2'
81,Philip Glass - Concerto For Saxophone (Quartet Version): Movement IV,2678591,231.10485,0.532,0,0.622,-14.383,0,0.676,222.679,176.122,1,0.0,b'TRARAAG128F42437FB'
82,Luis Alberto Spinetta - Llama y Verás,2361136,209.47546,0.259,9,0.467,-16.079,1,0.517,196.836,196.52,3,1.0,b'TRARAZI128F427F3B4'
83,Ramy Ayach - Heyya Heyya,2137043,239.80363,3.75,10,0.505,-5.942,0,0.451,224.885,88.015,4,0.567,b'TRARAIG128F424DDCC'
84,Frank Chacksfield & His Orchestra - Misty Valley,8369700,155.37587,3.274,0,0.406,-19.61,1,0.482,144.155,151.195,3,0.722,b'TRARAEU12903CB396C'
85,Frl.Menke - Sehnsuchtsexpress,8381779,217.20771,0.305,5,0.755,-11.016,1,0.665,200.173,90.954,4,0.464,b'TRARAGQ12903CB6892'
86,Agnostic Front - Come Alive,3053537,122.17424,0.096,2,0.312,-5.218,1,0.43,118.062,185.453,7,0.716,b'TRARACF128F424FACF'
87,Snow Patrol - Spitting Games,3999,229.642,0.0,7,0.725,-14.848,1,0.735,210.28,74.576,1,0.0,b'TRARAIO128E0780FDE'
88,Rise Against - Drones,394433,181.57669,0.0,3,0.301,-3.696,0,0.336,176.721,209.141,4,0.0,b'TRARANL128F1478789'
89,The Rance Allen Group - Do Your Will (Album Version),1077908,337.162,0.253,0,0.764,-4.152,1,0.572,327.959,105.994,4,1.0,b'TRARAHB128F428928E'
90,Refractory - Check the bomb,5394634,358.89587,2.212,5,0.02,-5.613,1,0.596,351.434,123.96,5,0.495,b'TRARATE128F92FE56A'
91,Theodor Zox - System of Play,6391942,381.23057,0.0,2,0.015,-11.941,1,0.353,375.548,83.991,3,1.0,b'TRARAJS12903CAD54F'
92,Bob Dylan - Trying To Get To Heaven,3156471,320.70485,0.136,3,0.121,-14.089,1,0.346,309.899,94.161,4,0.604,b'TRARAEG128F42647B2'
93,Maximilian Hecker - Birch,4694999,370.02404,38.249,5,0.399,-13.538,0,0.476,362.034,243.981,4,0.271,b'TRARFWJ128F9339D70'
94,Albert Collins - Same Old Thing,313846,356.25751,0.0,7,0.27,-11.893,1,0.227,341.188,94.557,4,0.536,b'TRARFXI128F1468CE3'
95,Fergie - Voodoo Doll,5078970,263.05261,0.0,1,0.783,-6.502,1,0.693,263.053,129.997,4,0.0,b'TRARFQL128F931E523'
96,Los Amigos Invisibles - Nerio Compra Una Contestadora,2993991,24.34567,0.0,5,0.168,-21.978,1,0.481,24.346,142.453,5,0.612,b'TRARFAV128F428B7B2'
97,Seal - Killer (Single Version),3548745,257.48853,0.375,10,0.432,-7.762,0,0.515,248.337,117.988,4,0.429,b'TRARFSI128F92C5B06'
98,Flink - Sunset Manifesto,3669499,160.91383,0.177,6,0.337,-6.103,0,0.354,152.485,147.934,4,0.254,b'TRARFSH128F92DFDED'
99,Salt The Wound - From My Hands,8641677,241.162,0.0,2,0.155,-5.056,1,0.354,227.915,174.424,7,0.24,b'TRARFKP12903CF5DF1'
100,ZENFU - Tanz,3008132,130.71628,0.13,4,0.051,-4.689,0,0.502,122.99,143.126,4,1.0,b'TRARFAB128F4244BB7'
101,Daniel Paul - Coming Back For More feat. Colin Corvez,6865828,323.60444,0.107,4,0.0,-11.556,0,0.0,315.623,120.04,4,1.0,b'TRARFTH128F93052CF'
102,Winston Reedy - Paradise In Your Eyes,2783614,268.61669,2.415,0,0.879,-7.097,1,0.612,259.094,130.812,4,0.431,b'TRARFLF128F425B49B'
103,Korpiklaani - Isku Pitkästä Ilosta,5251766,250.8273,0.0,7,0.819,-4.535,1,0.585,243.635,99.995,1,0.0,b'TRARFAZ128F93481AD'
104,Eminem - The Way I Am,4314191,291.10812,0.0,4,0.067,-3.353,0,0.419,278.32,174.731,4,0.862,b'TRARFOC128F92ED401'
105,Johnny Cash - One More Ride (Digitally Remastered),7802778,120.99873,0.264,8,0.636,-12.308,1,0.534,112.019,110.43,4,1.0,b'TRARFQY12903CA07B6'
106,Brian Dullaghan - Can't Help Falling In Love,7524355,190.56281,0.392,3,0.475,-15.892,1,0.636,183.687,90.255,4,1.0,b'TRARFCT12903CD3545'
107,Dezz White - Drunk Driving Tip,3039947,44.93016,0.0,4,0.0,-15.497,1,0.0,44.93,59.021,4,1.0,b'TRAROOB128F424C74C'
108,Shakira - Que Vuelvas,3228163,231.75791,0.531,2,0.549,-7.174,1,0.586,231.758,123.861,4,0.837,b'TRAROQC128F4273979'
109,Roger Williams - I'm In The Mood For Love,8150132,170.81424,0.636,11,0.758,-15.383,1,0.761,165.523,100.366,3,1.0,b'TRAROUS12903CF4F08'
110,Gonzalo Rubalcaba - Yesterdays,258611,483.39546,0.571,9,0.639,-33.045,0,0.58,457.189,70.256,3,0.31,b'TRAROHB128F145CD83'
111,David Taylor - Concertino for Bass Trombone and Trombone Choir,5855362,600.11057,0.474,11,0.133,-22.54,1,0.249,589.642,144.252,1,0.495,b'TRAROQL128F92F7E7D'
112,Domna Kountouri - De Tha Mai Edo,784872,209.94567,2.235,3,0.902,-8.318,0,0.67,204.481,99.98,4,0.687,b'TRAROCB128EF35098A'
113,Anne Dudley - Rachel's retribution,475999,280.86812,3.744,11,0.599,-15.428,0,0.528,249.133,118.326,4,0.45,b'TRAROSP128F1487270'
114,The Starting Line - A Goodnight's Sleep,276876,264.41098,0.072,9,0.074,-5.011,1,0.328,249.574,142.069,4,0.723,b'TRARODV128F1460DBC'
115,L.A.V.I - Mui Mal_ Animal,7520476,565.96853,0.0,11,0.0,-11.531,0,0.149,531.992,0.0,3,1.0,b'TRAROFY12903CD2618'
116,TEN MADISON - Cup Horn,1251108,344.68526,11.418,5,0.514,-8.627,0,0.483,333.752,190.038,4,0.0,b'TRAROPZ128F42A8AB2'
117,Carl Belew - Am I That Easy To Forget,6781014,140.38159,0.0,2,0.182,-13.338,1,0.567,136.678,117.867,3,0.905,b'TRAROPS128F92F09A5'
118,Sonora Carruseles - Vitamina,2551058,230.00771,0.247,10,0.045,-6.564,0,0.493,225.599,108.292,4,0.385,b'TRARODD128F4225D3F'
119,The Misfits - The Haunting,510081,85.9424,0.196,11,0.127,-5.542,1,0.424,83.069,212.293,4,0.989,b'TRARHCB128F148D1B0'
120,Jessie Lee Miller - All or Nothin' Gal,5346543,116.92363,0.0,0,0.0,-7.391,0,0.0,107.34,188.979,4,0.117,b'TRARHMM128F92F2DC9'
121,Audio Adrenaline - Some Kind Of Zombie (Criscoteque Remix),2257421,279.97995,4.992,9,0.388,-5.934,1,0.422,267.633,108.351,4,0.821,b'TRARHLY128F42698CA'
122,Tito Allen - A Veces Hablo De Ti,6774616,322.21995,0.0,7,0.628,-14.305,0,0.652,301.076,183.636,4,0.516,b'TRARHKQ128F92EF0B2'
123,Pee Wee Crayton - Old Fashioned Baby,4260160,163.10812,0.35,5,0.566,-10.446,0,0.433,157.907,116.461,3,1.0,b'TRARHFV128F92E0ECE'
124,Dickies - Just Say Yes,5656370,152.94649,2.281,2,0.434,-9.428,0,0.461,140.249,104.231,1,0.32,b'TRARHFF128F933D378'
125,David & Steve Gordon - Faithkeeper_ Part 1,7138707,532.27057,14.681,11,0.243,-18.799,0,0.231,507.878,131.991,4,0.12,b'TRARHXX128F93477A0'
126,Abijah - Children Of Love,2019421,204.77342,3.106,2,0.895,-18.818,1,0.796,196.609,81.025,3,0.646,b'TRARHBD128F423A0EA'
127,Daniela Dessì - Afro Profondo,5181338,178.75546,2.159,10,0.443,-9.638,0,0.338,172.913,179.998,4,0.226,b'TRARMNI128F9336EF9'
128,Murskahumppa - Lihava enkeli,7717120,163.47383,0.0,9,0.494,-8.997,1,0.407,159.295,136.579,4,0.273,b'TRARMUY12903D02555'
129,CoCo Lee - Killing Me Softly With His Song,6089322,310.54322,0.537,4,0.19,-8.933,0,0.36,303.839,100.82,4,0.697,b'TRARMLZ128F9330684'
130,Doniki - Girl You Need My Love,8955304,256.20853,0.194,4,0.745,-17.266,0,0.668,252.836,175.202,1,0.0,b'TRARMPI12903CCE6BD'
131,Burt Bacharach - Love Theme (The Falling In Love),7067590,98.32444,0.177,3,0.429,-17.806,1,0.474,89.072,66.882,4,0.512,b'TRARMZO128F93362A2'
132,Leon Russell - Roller Derby,650780,145.55383,0.235,10,0.856,-12.824,0,0.786,136.998,120.427,4,0.292,b'TRARMUZ128F14AA0EA'
133,Jimmy Wayne - Are You Ever Gonna Love Me?,602796,232.64608,0.258,7,0.477,-6.349,0,0.579,213.821,142.409,4,0.038,b'TRARMYQ128F149F18A'
134,Fast Eddie featuring Kool Rock - Turn Up The Bass,8206286,271.3073,0.16,10,0.108,-8.902,0,0.468,266.484,125.86,4,1.0,b'TRARMHD12903D02A2A'
135,Ann Lee - So deep,2220989,380.08118,0.0,7,0.714,-7.804,1,0.675,363.532,131.999,4,0.872,b'TRARMYZ128F426150A'
136,Life Long Tragedy - Collecting Dust,5317715,204.9824,0.0,7,0.684,-6.024,1,0.644,204.982,86.435,3,0.482,b'TRARMRJ128F92EBD5C'
137,Hushabye Baby - You Had Me From Hello (Lullaby Rendition of Kenny Chesney),5897098,223.45098,0.102,2,0.68,-18.798,1,0.578,214.43,69.995,4,0.481,b'TRARMPK128F9302164'
138,Ill Nino - Nothing's Clear (Album Version),1432945,202.13506,0.0,5,0.333,-3.778,1,0.494,191.959,109.441,4,0.462,b'TRARMWA128F424147D'
139,The Marx Brothers - You Must Do Your Best Tonight / I Represent/Animal Crackers,2602588,116.37506,0.0,0,0.071,-14.639,1,0.473,108.501,60.778,4,0.078,b'TRARMFD128F4231386'
140,William Goldstein - French Suite: A Paris Thing,5084196,276.50567,0.409,3,0.725,-28.215,1,0.604,258.659,89.102,3,0.62,b'TRARMDJ128F931F980'
141,Tim Exile - Oh Scat Mix Up,2676904,78.21016,0.0,10,0.142,-3.716,0,0.454,78.21,124.429,3,1.0,b'TRARMRC128F424317A'
142,The Jam - The Modern World,359258,150.59546,0.316,1,0.664,-8.812,1,0.483,147.435,159.849,4,0.0,b'TRARMUI128F147162F'
143,Descendents - I'm Not A Loser,3707539,89.23383,0.188,11,0.727,-8.867,1,0.3,81.995,203.29,4,0.0,b'TRARMHA128F92E7D32'
144,Barbarito Diez - De Paris Un Caballero,1644423,157.962,0.0,5,0.22,-7.807,1,0.469,152.654,65.914,4,0.113,b'TRARMIK128F4270A74'
145,Bill Engvall - T-Ball and Indian Guides (LP Version),588611,482.21995,0.0,5,0.0,-11.689,1,0.038,482.22,112.964,3,0.623,b'TRARJMX128F149BE14'
146,Françoise Hardy - Maurane - La Rue Du Babouin,549791,194.24608,0.0,7,0.579,-16.904,1,0.516,185.208,105.156,3,0.541,b'TRARJVW128F14937AB'
147,David Arkenstone - Big Bounce,4274070,272.97914,0.253,11,0.053,-12.958,0,0.39,256.377,108.014,4,0.505,b'TRARJEM128F92E444D'
148,The Almost - Summer Summer,6961745,240.79628,0.103,4,0.222,-5.353,0,0.422,231.253,136.147,4,0.69,b'TRARJPL128F931C7D2'
149,Camp Lo - Bubblin' (Anita Demo),5363210,222.40608,0.073,3,0.601,-11.502,0,0.455,213.148,196.45,4,1.0,b'TRARJKN128F92F6CF8'
150,Stevie Ray Vaughan And Double Trouble - Couldn't Stand The Weather,4478260,281.05098,0.067,1,0.542,-9.882,1,0.5,271.157,121.616,4,0.967,b'TRARJEK128F930B3AA'
151,David Johansen - In Style,5549715,247.97995,0.15,2,0.474,-7.436,1,0.735,240.356,87.373,3,0.155,b'TRARJLC128F9323715'
152,Jeff Massanari Trio - Closin' Moes,6691757,253.85751,0.212,5,0.526,-9.924,1,0.467,248.837,183.801,4,0.39,b'TRARJGM12903CF5DAC'
153,Harry Lauder - Portobello Lass,7415207,177.6322,0.315,2,0.299,-22.55,0,0.403,171.363,162.993,1,0.0,b'TRARCMH12903CB8E8B'
154,Gershon Kingsley - Trumansburg Whistle,4687190,180.08771,0.165,7,0.733,-11.826,1,0.799,167.091,130.831,1,0.0,b'TRARCAU128F9337F05'
155,Kenny Rogers - Reuben James,8507339,167.00036,0.154,9,0.593,-14.406,1,0.5,157.983,187.128,4,1.0,b'TRARCNN12903CD5262'
156,Bad Company - Rock Steady,8649786,229.58975,0.0,7,0.598,-8.064,1,0.624,229.59,102.984,4,0.895,b'TRARCZH12903CF7D2F'
157,Winifred Phillips - Sporable,6938106,141.19138,2.502,0,0.274,-15.835,1,0.526,135.738,130.195,4,0.479,b'TRARCJT128F9316BA9'
158,Zombina & The Skeletones - The Waiting,6488495,145.3971,0.0,0,0.3,-6.264,0,0.277,145.397,94.754,4,0.097,b'TRARCNT12903CC4767'
159,MxPx - Grey Skies Turn Blue,7830292,183.97995,0.103,11,0.473,-3.861,1,0.577,174.527,87.779,4,0.396,b'TRARCSJ12903CA71D8'
160,Zumpano - Wraparound Shades (Album),2090364,228.46649,0.345,1,0.383,-8.394,0,0.565,220.973,159.784,1,0.633,b'TRARDHN128F4243072'
161,Thrice - The Earth Isn't Humming,3840045,349.80526,0.0,5,0.472,-9.454,1,0.551,345.281,143.59,4,0.859,b'TRARDOK128F9300AB5'
162,Davol - Champion (World),5985628,264.09751,4.888,1,1.0,-15.991,1,0.826,255.588,102.015,4,0.91,b'TRARDRG128F931766E'
163,Cannon's Jug Stompers - Heart Breakin' Blues,6630720,186.64444,0.131,11,0.849,-14.897,1,0.698,179.67,139.606,1,0.258,b'TRARDCR12903CE6FBE'
164,30 Seconds To Mars - Year Zero,376956,472.39791,0.27,3,0.544,-6.736,1,0.741,464.242,121.518,5,0.994,b'TRARDJY128F14750EA'
165,Who Made Who - Satisfaction,5558160,265.32526,0.42,11,0.013,-6.145,0,0.339,260.807,132.974,4,0.614,b'TRARDRX128F9325812'
166,Tyrone Davis - I Can't Help Myself,6654195,277.41995,0.316,5,0.614,-9.998,0,0.61,255.443,84.955,3,1.0,b'TRARDFD12903CECB2C'
167,K.I.Z. - Autofokus,7930420,231.18322,0.38,7,0.538,-4.547,1,0.485,215.203,151.488,7,0.29,b'TRARDUI12903CBF6B6'
168,Aimable - Tango Andorra,8732473,180.45342,0.0,0,0.513,-15.966,1,0.519,178.196,106.953,1,0.0,b'TRARDSS12903D0C029'
169,Birmingham Jubilee Singers - King Jesus Is My Captain,1875695,183.27465,0.258,8,0.567,-18.697,1,0.428,173.656,150.405,4,0.807,b'TRARDLO128F42A0469'
